Date,Gold,Inflation,Exchnage_rate,Petrochemical,Oil,dominant_score
2022-03-17,40.666664,0.013000000000000001,3.748992,67.900002,33.76033,0
2022-03-20,41.599998,0.048499999999999995,3.748992,67.599998,35.123966,1
2022-03-21,43.133331,-0.020099999999999996,3.7509,67.800003,36.115704,0
2022-03-22,42.466667,0.0347,3.746971,68.0,35.70248,1
2022-03-23,44.066666,0.0183,3.746948,68.099998,35.413223,1
2022-03-24,44.866665,0.0,3.747247,66.900002,35.330578,1
2022-03-27,44.599998,0.0,3.747247,67.099998,35.0,1
2022-03-28,44.266666,-0.0029,3.7507,67.599998,34.545452,1
2022-03-29,44.466667,0.018000000000000002,3.746917,67.5,34.669422,1
2022-03-30,45.400002,-0.0148,3.747939,67.699997,34.628098,1
2022-03-31,44.599998,0.0016,3.747177,67.400002,34.462811,1
2022-04-03,44.666664,0.0058,3.747177,66.300003,35.413223,1
2022-04-04,44.933334,0.0387,3.7508,67.099998,35.454544,1
2022-04-05,46.666664,0.051399999999999994,3.746591,68.400002,35.619835,1
2022-04-06,49.066666,-0.0273,3.746776,67.900002,35.537189,0
2022-04-07,47.666664,0.0281,3.746525,67.5,35.495869,1
2022-04-10,49.666664,0.0026,3.746525,67.400002,35.454544,1
2022-04-11,49.200001,0.0067,3.7493,67.400002,35.330578,0
2022-04-12,49.333332,-0.004,3.745651,66.900002,35.289257,0
2022-04-13,48.866665,-0.053899999999999997,3.745457,66.099998,35.537189,1
2022-04-14,46.799999,0.005600000000000001,3.745529,65.800003,35.247932,1
2022-04-17,46.733334,-0.015600000000000001,3.745529,65.0,35.454544,1
2022-04-18,46.133331,0.0028000000000000004,3.7421,64.5,35.289257,1
2022-04-19,46.333332,-0.020099999999999996,3.7505,63.900002,35.413223,0
2022-04-20,45.400002,0.0426,3.745401,63.0,35.495869,0
2022-04-21,47.333332,-0.0351,3.7479,61.5,35.867767,1
2022-04-24,45.333332,-0.0366,3.7479,59.900002,35.454544,0
2022-04-25,43.666664,0.0,3.7498,60.5,35.495869,0
2022-04-26,45.666664,0.0227,3.746066,61.400002,35.537189,1
2022-04-27,45.666664,0.0222,3.745996,61.0,35.826447,1
2022-04-28,46.666664,0.0,3.746026,61.700001,36.983471,1
2022-05-08,46.933334,-0.0217,3.746026,61.400002,37.024792,1
2022-05-09,44.933334,-0.0207,3.7505,60.5,37.892563,0
2022-05-10,43.533333,-0.0605,3.746715,59.0,37.975204,0
2022-05-11,41.666664,-0.0016,3.746303,58.5,37.851238,1
2022-05-12,41.466667,-0.046799999999999994,3.746565,57.5,37.603306,1
2022-05-15,40.0,0.047400000000000005,3.746565,57.099998,38.181816,1
2022-05-16,41.666664,-0.0226,3.7505,58.200001,38.454544,1
2022-05-17,40.866665,-0.0165,3.746448,56.400002,38.636364,1
2022-05-18,39.666664,-0.0168,3.746202,56.0,37.5,0
2022-05-19,37.400002,-0.042699999999999995,3.746424,54.400002,36.409088,0
2022-05-22,37.866665,0.0054,3.746424,54.599998,36.363636,0
2022-05-23,37.733334,0.0036,3.7503,55.400002,35.772728,1
2022-05-24,37.666664,0.038900000000000004,3.74645,55.0,35.863636,0
2022-05-25,39.333332,0.0528,3.746466,54.0,36.545452,1
2022-05-26,41.333332,-0.0049,3.746256,54.299999,37.363636,1
2022-05-29,41.333332,-0.008100000000000001,3.746256,54.5,37.363636,1
2022-05-30,41.133331,-0.0148,3.7502,56.0,37.590908,0
2022-05-31,41.933334,0.0832,3.745743,55.400002,38.0,1
2022-06-01,42.666664,-0.0492,3.745727,54.400002,38.045452,1
2022-06-02,39.400002,-0.046799999999999994,3.745178,54.5,37.272728,0
2022-06-05,39.066666,0.0424,3.745178,54.599998,36.636364,1
2022-06-06,41.133331,0.026000000000000002,3.7449,56.400002,37.0,1
2022-06-07,42.133331,-0.0285,3.745708,57.5,37.272728,0
2022-06-08,41.333332,-0.0033,3.746485,56.299999,36.863636,1
2022-06-09,40.733334,-0.0016,3.746472,57.099998,36.954544,1
2022-06-12,39.733334,-0.0443,3.746472,56.0,36.454544,1
2022-06-13,38.733334,-0.0395,3.751,55.0,35.454544,1
2022-06-14,36.666664,0.035699999999999996,3.746765,53.799999,35.81818,0
2022-06-15,38.666664,-0.0069,3.747112,54.0,35.454544,0
2022-06-16,38.466667,-0.0417,3.747164,53.400002,34.954544,1
2022-06-19,36.0,-0.0525,3.747164,51.0,34.590908,1
2022-06-20,34.799999,0.0191,3.7518,49.5,33.545452,1
2022-06-21,36.133331,0.0319,3.747588,50.200001,33.727272,1
2022-06-22,36.666664,-0.0727,3.747729,50.700001,34.181816,0
2022-06-23,34.0,-0.0196,3.747504,49.099998,33.863636,1
2022-06-26,34.200001,0.027999999999999997,3.747504,50.5,34.136364,0
2022-06-27,34.266666,-0.0175,3.7524,50.799999,34.363636,0
2022-06-28,33.533333,0.023799999999999998,3.748724,50.200001,34.227272,1
2022-06-29,34.133331,-0.0058,3.748313,50.900002,35.272728,1
2022-06-30,34.266666,-0.0302,3.747271,51.599998,35.636364,1
2022-07-03,33.466667,0.0,3.747271,50.799999,35.31818,1
2022-07-04,33.133331,-0.006999999999999999,3.7521,50.900002,35.0,1
2022-07-05,33.266666,0.004,3.747984,49.650002,34.681816,1
2022-07-06,32.333332,-0.020099999999999996,3.748822,48.700001,34.5,1
2022-07-13,32.400002,-0.0452,3.748404,48.0,34.090908,1
2022-07-14,31.0,-0.0204,3.748274,46.400002,33.363636,1
2022-07-17,30.700001,0.0121,3.748274,46.25,33.272728,1
2022-07-18,30.933332,0.0998,3.7539,45.049999,33.636364,0
2022-07-19,34.0,0.0947,3.749348,46.049999,35.0,1
2022-07-20,37.333332,-0.0072,3.750348,47.5,35.181816,1
2022-07-21,36.933334,0.0236,3.753036,48.0,35.409088,1
2022-07-24,37.599998,-0.0053,3.753036,49.349998,35.0,1
2022-07-25,37.333332,-0.0125,3.7558,48.549999,35.0,1
2022-07-26,36.933334,0.0054,3.752984,47.400002,35.181816,1
2022-07-27,37.133331,0.0144,3.752462,47.549999,35.454544,1
2022-07-28,38.333332,-0.0053,3.750944,48.799999,36.31818,0
2022-07-31,37.933334,0.0,3.750944,49.950001,36.090908,0
2022-08-01,37.599998,0.0125,3.7548,51.299999,36.136364,0
2022-08-02,38.066666,0.0545,3.750911,52.700001,36.363636,1
2022-08-03,40.0,-0.005,3.752004,52.0,36.136364,1
2022-08-04,39.799999,0.0,3.755166,53.0,36.090908,0
2022-08-07,40.0,0.0101,3.755166,53.0,36.0,1
2022-08-08,40.666664,0.0166,3.7562,51.799999,35.727272,0
2022-08-09,41.200001,0.0359,3.753764,52.599998,35.727272,0
2022-08-10,42.333332,0.011000000000000001,3.7553,52.400002,36.181816,1
2022-08-11,43.333332,0.09970000000000001,3.754536,52.599998,36.272728,1
2022-08-14,47.333332,-0.017,3.754536,53.400002,37.090908,0
2022-08-15,46.266666,0.0793,3.751,53.299999,36.727272,0
2022-08-16,49.933334,-0.0147,3.750221,53.200001,36.681816,1
2022-08-17,49.333332,-0.025699999999999997,3.749668,53.0,36.181816,1
2022-08-18,47.933334,0.0111,3.749386,53.099998,36.136364,0
2022-08-21,48.466667,-0.0248,3.749386,52.700001,35.909088,1
2022-08-22,47.133331,0.0155,3.7537,51.700001,35.454544,1
2022-08-23,47.866665,-0.025,3.75066,51.400002,35.090908,0
2022-08-24,47.066666,0.01,3.750646,50.5,34.954544,0
2022-08-25,48.0,0.0395,3.753624,51.0,35.81818,0
2022-08-28,48.666664,0.0583,3.753624,50.799999,35.545452,0
2022-08-29,52.599998,0.0,3.7526,52.099998,35.181816,1
2022-08-30,52.200001,-0.029500000000000002,3.750744,51.900002,35.31818,0
2022-08-31,50.333332,-0.0159,3.751136,51.5,34.681816,1
2022-09-01,49.866665,-0.0134,3.753869,50.200001,34.090908,1
2022-09-04,48.666664,0.0163,3.753869,50.0,33.727272,0
2022-09-05,50.0,0.0,3.7567,50.299999,34.227272,1
2022-09-06,49.733334,-0.0281,3.754104,50.700001,34.090908,0
2022-09-07,48.400002,-0.0262,3.752894,50.099998,33.81818,1
2022-09-08,47.133331,-0.0212,3.753038,49.150002,33.590908,0
2022-09-11,47.066666,0.0159,3.753038,49.599998,33.545452,1
2022-09-12,46.933334,0.0213,3.7561,49.700001,33.863636,1
2022-09-13,47.533333,-0.037599999999999995,3.752944,49.799999,33.863636,1
2022-09-14,45.133331,-0.0304,3.753474,48.5,33.727272,1
2022-09-15,45.133331,-0.022400000000000003,3.754903,49.349998,33.681816,1
2022-09-18,43.333332,-0.042699999999999995,3.754903,48.700001,33.272728,1
2022-09-19,41.533333,0.030299999999999997,3.7561,47.849998,32.954544,0
2022-09-20,43.799999,-0.020099999999999996,3.75503,48.0,32.81818,1
2022-09-21,42.400002,0.0158,3.756669,47.700001,32.954544,0
2022-09-25,40.933334,-0.009300000000000001,3.756669,46.799999,32.454544,1
2022-09-26,42.133331,-0.0204,3.7564,46.0,31.81818,1
2022-09-27,42.0,0.0256,3.7587,44.450001,31.045454,0
2022-09-28,43.266666,0.0516,3.756597,46.200001,31.545454,1
2022-09-29,45.666664,0.0342,3.761428,46.5,32.136364,1
2022-10-02,46.666664,-0.0072,3.761428,46.5,32.545452,1
2022-10-03,46.066666,0.0203,3.7533,46.799999,32.545452,0
2022-10-04,47.0,0.0184,3.753965,47.0,32.5,0
